team_name;player_name;position;status;match_date;opponent;match_id;competition;shirt_number;source
Kairat Almaty;Sherkhan Kalmurza;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;82;APIFootball
Kairat Almaty;Jug Stanojev;0;Substitute;2026-01-28;Arsenal FC;659214;UEFA Champions League;33;APIFootball
Athletic Bilbao;Ernesto Valverde;;Coach;2026-01-28;Sporting CP;;UEFA Champions League;;Manual
Athletic Bilbao;Unai Simón;1;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;1;Manual
Athletic Bilbao;Gorosabel;2;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;2;Manual
Athletic Bilbao;Predes;3;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;4;Manual
Athletic Bilbao;Berchiche;4;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;17;Manual
Athletic Bilbao;Adama Boiro;5;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;19;Manual
Athletic Bilbao;Ruiz De Galarreta;6;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;16;Manual
Athletic Bilbao;Alejandro Rego;7;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;30;Manual
Athletic Bilbao;Gomez;8;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;20;Manual
Athletic Bilbao;Sancet;9;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;8;Manual
Athletic Bilbao;Navarro;10;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;23;Manual
Athletic Bilbao;Guruzeta;11;Starting XI;2026-01-28;Sporting CP;;UEFA Champions League;11;Manual
Athletic Bilbao;Padilla;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;27;Manual
Athletic Bilbao;Vesga;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;6;Manual
Athletic Bilbao;Berenguer;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;7;Manual
Athletic Bilbao;Jesús Areso;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;12;Manual
Athletic Bilbao;Iñigo Lekue;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;15;Manual
Athletic Bilbao;Serrano;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;22;Manual
Athletic Bilbao;Asier Hierro;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;31;Manual
Athletic Bilbao;Jon De Luis;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;34;Manual
Athletic Bilbao;Ibon Sanchez;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;35;Manual
Athletic Bilbao;Elijah Gift;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;40;Manual
Athletic Bilbao;Selton Sánchez;0;Substitute;2026-01-28;Sporting CP;;UEFA Champions League;44;Manual
Atlético de Madrid;Diego Pablo Simeone;;Coach;2026-01-28;Bodo/Glimt;;UEFA Champions League;;Manual
Atlético de Madrid;J Oblak;1;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;13;Manual
Atlético de Madrid;M Llorente;2;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;14;Manual
Atlético de Madrid;M Pubill;3;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;18;Manual
Atlético de Madrid;J Giménez;4;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;2;Manual
Atlético de Madrid;D Hancko;5;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;17;Manual
Atlético de Madrid;A Baena;6;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;10;Manual
Atlético de Madrid;P Barrios Rivas;7;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;8;Manual
Atlético de Madrid;Coke;8;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;6;Manual
Atlético de Madrid;N González;9;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;23;Manual
Atlético de Madrid;J Álvarez;10;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;19;Manual
Atlético de Madrid;A Sørloth;11;Starting XI;2026-01-28;Bodo/Glimt;;UEFA Champions League;9;Manual
Atlético de Madrid;J Musso;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;1;Manual
Atlético de Madrid;S Esquivel;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;31;Manual
Atlético de Madrid;M Ruggeri;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;3;Manual
Atlético de Madrid;J de Souza Cardoso;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;5;Manual
Atlético de Madrid;T Almada;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;11;Manual
Atlético de Madrid;C Lenglet;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;15;Manual
Atlético de Madrid;N Molina;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;16;Manual
Atlético de Madrid;G Simeone;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;20;Manual
Atlético de Madrid;R Le Normand;0;Substitute;2026-01-28;Bodo/Glimt;;UEFA Champions League;24;Manual
